"","VDC_Jur","NAME_1","NAME_2","NAME_3","Frst_size","CF_area","CF","PropCommFrst","NM_2015","Ppl2022","Ppl2015","RoadDensity","Deprvtn","Slope2022","PrecipAnom","MedGapSize_M","MedGapDist_M","TotalGapSize_ha","NGaps","PreGapArea_Ha","PreGapN","MedLossSize_M","MedLossDist_M","TotaLossSize_Ha","NLosses"
"1","Achham_Babala","Far-Western","Seti","Achham",860.36099929,272.18,TRUE,0.3163555765831,-3088.85952758789,3057,3378,3.25692247088361,87.369213104248,1274,1.031948579,36.8502466613427,19.4354986321453,19.1136236500496,640,18.6070569586581,641,82.9002580195665,9.7262454659393,0.207229518144578,19
"2","Achham_Baijinath","Far-Western","Seti","Achham",158.724798173,20.28,TRUE,0.127768314928938,-1929.03381347656,2063,1928,2.4454844374308,81.7134971618652,650,1.023990014,55.3284103861079,33.4676136427522,7.36421935900264,206,7.36421935900264,206,82.9894859995693,166.378592967054,0.0165978971999139,2
"3","Achham_Bannatoli","Far-Western","Seti","Achham",991.61630444,226.13,TRUE,0.228041833305377,-3209.2587890625,4106,3525,2.64227855678685,86.0562057495117,1433,1.129264222,129.157549219206,56.8062201847246,40.3239984640747,600,40.258490664909,599,332.147109642625,325.737144762784,0.265778986406326,5
"4","Achham_Baradadivi","Far-Western","Seti","Achham",917.92876058,126.04,TRUE,0.137309130525947,-1590.36218261719,5544,5350,1.93002480473352,86.1251678466797,1489,1.075361951,119.877053270116,84.0511036940198,47.452957410959,629,46.6894179502852,624,165.994841076434,194.709527663555,0.672233560660109,27
"5","Achham_Basti","Far-Western","Seti","Achham",4892.1824737,2437.81,TRUE,0.498307251028652,-529.952697753906,3008,4466,1.24399015090367,89.230110168457,951,1.126042758,83.12215122208,67.0054850171542,165.173196438818,3241,164.836879689262,3225,83.129394588992,70.3423912228789,1.07208120054975,52
"6","Achham_Batulasen","Far-Western","Seti","Achham",2097.31411968,1144.25,TRUE,0.545578742479732,-4744.57763671875,4179,5016,2.01062455135089,84.355598449707,2128,1.074372197,193.730422081426,73.2792422073947,50.8170359922785,579,48.1511231130693,570,83.0289596728981,272.463886856914,0.614377546991035,31
"7","Achham_Bayala","Far-Western","Seti","Achham",1253.78974268,1008.66,TRUE,0.804488955097024,-1149.46655273438,4803,4745,2.88456183517268,86.816333770752,1178,1.15953053,120.026615960523,38.5189261143779,48.9300924422495,915,43.6482439356172,890,83.1245486848056,153.839830601448,1.08058344701119,63
"8","Achham_Bhagyaswori","Far-Western","Seti","Achham",221.8633011,108.29,TRUE,0.488093341544534,-1929.03381347656,1483,1311,2.05720023043737,79.6993865966797,957.5,1.036373544,27.6651230165735,23.5286572516034,10.8967239027917,222,10.8967239027917,222,NA,NA,NA,NA
"9","Achham_Bhairabsthan","Far-Western","Seti","Achham",3384.1638672,811.42,TRUE,0.239769713241267,-4375.91845703125,5039,5431,1.55484666465809,88.0371932983398,971,1.091315108,101.716055883095,44.4023497233425,113.542051775717,2354,106.996955214421,2323,83.2238367367536,140.437555502335,4.26021876217872,194
"10","Achham_Bhatakatiya","Far-Western","Seti","Achham",3310.34768506,0,FALSE,0,-3471.86462402344,5564,5606,1.64411813992499,90.4644927978516,2285,1.050026398,82.9851354174316,45.0889728038689,76.1517975250827,1247,73.2062828711035,1216,82.9960287064314,49.0019733879579,7.17680399432667,196
"11","Achham_Bhuli","Far-Western","Seti","Achham",440.223583,260,TRUE,0.590608976984316,-1149.46655273438,3098,3340,3.83605189935172,88.2429809570312,1463,1.165064422,73.8995422851294,26.6579027055179,12.6452153465206,253,12.5011429652512,251,83.1394640691578,18.2729726095445,0.789794946297631,32
"12","Achham_Binayak","Far-Western","Seti","Achham",885.05632101,384.92,TRUE,0.434910175615424,-1658.82836914062,6215,6904,3.72250403235398,88.3521194458008,1487,1.129454412,92.3184214383364,40.4584802034751,40.9327348569982,683,40.3031952893846,679,83.0899074189365,29.1777851270796,0.0913970028735697,7
"13","Achham_Bindhyawasini","Far-Western","Seti","Achham",1070.29614217,30.98,TRUE,0.0289452598952555,-2781.48193359375,3473,3951,2.61921773279131,89.7587203979492,1491,1.021091078,73.7362860720605,29.7272196072985,41.9923688756235,679,39.0231169948911,668,82.9429765045643,83.6747279944428,0.439585947865993,36
