FID,VDC_Jur,GID_4,GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,CC_4,NAME_5,CF_area,CF,Frst_size,Frst,Gap_size,Gaps,Floss_size,Floss,Mean_dist,CF_F,Floss_CF,Floss_Frst
0,Achham_Babala,NPL.3.2.1.1_1,NPL,Nepal,NPL.3_1,Far-Western,NPL.3.2_1,Seti,NPL.3.2.1_1,Achham,Babala,NA,Village development committee,Village development committee,NA,Babala,272.18,3,841.5607197,6,18.80027959,753,0.407992389,38,24.6860199,0.32342289,0.00149898,0.00048
1,Achham_Baijinath,NPL.3.2.1.2_1,NPL,Nepal,NPL.3_1,Far-Western,NPL.3.2_1,Seti,NPL.3.2.1_1,Achham,Baijinath,NA,Village development committee,Village development committee,NA,Baijinath,20.28,1,151.5260426,2,7.198755573,238,0.017032206,2,196.4563142,0.13383838,0.000839852,0.00011
2,Achham_Bannatoli,NPL.3.2.1.3_1,NPL,Nepal,NPL.3_1,Far-Western,NPL.3.2_1,Seti,NPL.3.2.1_1,Achham,Bannatoli,NA,Village development committee,Village development committee,NA,Bannatoli,226.13,7,951.6593875,3,39.95691694,705,0.272528183,6,471.7256612,0.237616529,0.001205184,0.00029
3,Achham_Baradadivi,NPL.3.2.1.4_1,NPL,Nepal,NPL.3_1,Far-Western,NPL.3.2_1,Seti,NPL.3.2.1_1,Achham,Baradadivi,NA,Village development committee,Village development committee,NA,Baradadivi,126.04,4,870.5875674,3,47.34119318,742,0.695797584,33,452.222146,0.144775787,0.005520451,0.0008
4,Achham_Basti,NPL.3.2.1.5_1,NPL,Nepal,NPL.3_1,Far-Western,NPL.3.2_1,Seti,NPL.3.2.1_1,Achham,Basti,NA,Village development committee,Village development committee,NA,Basti,2437.81,16,4728.014844,4,164.1676297,3919,1.679261009,82,188.6776214,0.515609633,0.00068884,0.00036
5,Achham_Batulasen,NPL.3.2.1.6_1,NPL,Nepal,NPL.3_1,Far-Western,NPL.3.2_1,Seti,NPL.3.2.1_1,Achham,Batulasen,NA,Village development committee,Village development committee,NA,Batulasen,1144.25,5,2046.575102,3,50.73901768,667,0.620752885,33,370.6890925,0.559104818,0.000542498,0.0003
6,Achham_Bayala,NPL.3.2.1.7_1,NPL,Nepal,NPL.3_1,Far-Western,NPL.3.2_1,Seti,NPL.3.2.1_1,Achham,Bayala,NA,Village development committee,Village development committee,NA,Bayala,1008.66,6,1205.407168,5,48.38257468,1065,1.378876795,90,146.7114022,0.836779494,0.001367038,0.00114
7,Achham_Bhagyaswori,NPL.3.2.1.8_1,NPL,Nepal,NPL.3_1,Far-Western,NPL.3.2_1,Seti,NPL.3.2.1_1,Achham,Bhagyaswori,NA,Village development committee,Village development committee,NA,Bhagyaswori,108.29,4,211.0241494,2,10.8391517,276,0.008509803,1,0,0.513164016,7.85835E-05,0.00004
8,Achham_Bhairabsthan,NPL.3.2.1.9_1,NPL,Nepal,NPL.3_1,Far-Western,NPL.3.2_1,Seti,NPL.3.2.1_1,Achham,Bhairabsthan,NA,Village development committee,Village development committee,NA,Bhairabsthan,811.42,6,3271.53157,14,112.6322972,2789,5.587271874,284,173.3601372,0.248024506,0.006885795,0.00171
9,Achham_Bhatakatiya,NPL.3.2.1.10_1,NPL,Nepal,NPL.3_1,Far-Western,NPL.3.2_1,Seti,NPL.3.2.1_1,Achham,Bhatakatiya,NA,Village development committee,Village development committee,NA,Bhatakatiya,0,0,3234.433439,18,75.91424606,1473,8.561002264,317,126.4477279,0,0,0.00265
