V1,VDC_Jur
1.031948579,Achham_Babala
1.023990014,Achham_Baijinath
1.129264222,Achham_Bannatoli
1.075361951,Achham_Baradadivi
1.126042758,Achham_Basti
1.074372197,Achham_Batulasen
1.15953053,Achham_Bayala
1.036373544,Achham_Bhagyaswori
1.091315108,Achham_Bhairabsthan
1.050026398,Achham_Bhatakatiya
1.165064422,Achham_Bhuli
1.129454412,Achham_Binayak
1.021091078,Achham_Bindhyawasini
1.155142286,Achham_Birpath
0.944347213,Achham_Budhakot
1.150144323,Achham_Chalsa
1.061590965,Achham_Chandika
1.122033856,Achham_Chaphamandau
1.128590413,Achham_Darna
0.954269349,Achham_Devisthan
1.176187289,Achham_Dhakari
1.199689528,Achham_Dhaku
1.173077376,Achham_Dhamali
1.19149262,Achham_Dhodasain
1.022374259,Achham_Dhudharukot
1.177544953,Achham_Dhungachalna
0.889040857,Achham_Duni
1.074148403,Achham_Gajara
1.035340833,Achham_Hatikot
1.17177722,Achham_Hichma
0.994867275,Achham_Jalapadevi
1.164542697,Achham_Janalibandali
1.147244348,Achham_Janalikot
1.139521703,Achham_Jupu
1.129708,Achham_Kalagau
1.051326208,Achham_Kalekanda
1.143484183,Achham_Kalika
1.166481326,Achham_Kalikasthan
0.951206897,Achham_Khaptad
0.894171849,Achham_KhaptadNationalPar
1.044645282,Achham_Khodasadevi
1.137356162,Achham_Kuika
1.125129219,Achham_Kuntibandali
1.0272773,Achham_Kushkot
1.169016856,Achham_Layati
1.025690645,Achham_Lungra
1.123937842,Achham_Malatikot
1.134532747,Achham_Mangalsen
1.017910493,Achham_Marku
1.189685634,Achham_Mashtabamdali
1.054912464,Achham_Mastamandau
1.147332688,Achham_Nada
1.031415074,Achham_Nandegada
1.026371036,Achham_Nawathana
1.153549049,Achham_Oligau
0.887263318,Achham_Patalkot
1.054798141,Achham_Payal
1.089368165,Achham_Pulletala
1.286925756,Achham_Rahaph
0.972451791,Achham_Ramarosan
1.156479857,Achham_Raniban
1.028984167,Achham_Risidaha
1.036204139,Achham_Rodikot
1.113104938,Achham_Santada
1.185339655,Achham_Sera
1.037553489,Achham_Siddheswor
1.036674247,Achham_Siudi
0.980378483,Achham_Soukat
1.087775967,Achham_Sutar
1.042191164,Achham_Thanti
1.147905338,Achham_Timilsain
1.116458739,Achham_Toli
1.149517283,Achham_Tosi
1.072390264,Achham_Turmakhad
1.19052573,Achham_Walanta
1.120572956,Achham_Warla
1.530491489,Arghakhanchi_Adguri
1.710816899,Arghakhanchi_Argha
1.738488091,Arghakhanchi_Arghatos
1.572589116,Arghakhanchi_Asurkot
1.549863575,Arghakhanchi_Balkot
1.707315865,Arghakhanchi_Bangi
1.504010634,Arghakhanchi_Bangla
1.716394787,Arghakhanchi_Bhagawati
1.715585178,Arghakhanchi_Chhatraganj
1.590644764,Arghakhanchi_Chidika
1.641049465,Arghakhanchi_Dhakawang
1.569120647,Arghakhanchi_Dhanchaur
1.656593487,Arghakhanchi_Dharapani
1.596802232,Arghakhanchi_Dhatiwang
1.560042071,Arghakhanchi_Dhikura
1.703861253,Arghakhanchi_Dibharna
1.646650911,Arghakhanchi_Gorkhunga
1.670490228,Arghakhanchi_Hansapur
1.58620213,Arghakhanchi_Jukena
1.666626827,Arghakhanchi_Juluke
1.607665275,Arghakhanchi_Keemadada
1.443231011,Arghakhanchi_Kerunga
1.719796049,Arghakhanchi_Khan
1.547244902,Arghakhanchi_Khanchikot
1.689520387,Arghakhanchi_Khandaha
1.579985769,Arghakhanchi_Khidim
1.548664577,Arghakhanchi_Khilji
1.645121417,Arghakhanchi_Maidan
1.721956394,Arghakhanchi_Mareng
1.52023574,Arghakhanchi_Narapani
1.555386382,Arghakhanchi_Nuwakot
1.563488368,Arghakhanchi_Pali
1.65692225,Arghakhanchi_Pathauti
1.551281865,Arghakhanchi_Pathona
1.649917064,Arghakhanchi_Pokharathok
1.527514606,Arghakhanchi_Sandhikharka
1.729561252,Arghakhanchi_Siddhara
1.715850544,Arghakhanchi_Simalapani
1.545221744,Arghakhanchi_Sitapur
1.548938604,Arghakhanchi_Subarnakhal
1.648435378,Arghakhanchi_Thada
1.646042231,Arghakhanchi_Thulapokhara
1.595374936,Baglung_Akhikarichaur
1.825017945,Baglung_Amalachaur
1.538553982,Baglung_Amarbhumi
1.806440918,Baglung_Andheri
1.640115486,Baglung_Argal
1.319172611,Baglung_Arjewa
1.781838413,Baglung_Batakachaur
1.606010374,Baglung_Bhakunde
1.599112235,Baglung_Bhimpokhara
1.62632891,Baglung_Bhinggithe
1.752100412,Baglung_Bihunkot
1.819175383,Baglung_Binamare
1.622737804,Baglung_Boharagaun
1.56836993,Baglung_Bongadovan
1.30852782,Baglung_Bowang
1.518520212,Baglung_Burtiwang
1.696727888,Baglung_Chhisti
1.780834109,Baglung_Dagatundada
1.71544903,Baglung_Damek
1.676512241,Baglung_Darling
1.656273731,Baglung_Devisthan
1.595330939,Baglung_Dhamja
1.693029042,Baglung_Dhudhilabhati
1.712123984,Baglung_DhulluGaidi
1.725746351,Baglung_Dhullubaskot
1.557769828,Baglung_Gwalichaur
1.638424556,Baglung_Harichaur
1.659617138,Baglung_Hatiya
1.560003617,Baglung_Heel
1.758674637,Baglung_Hugdisheer
1.630102585,Baglung_Jaljala
1.642558866,Baglung_Kalika
1.554858767,Baglung_Kandebas
